ページ名,箇所,原文（日本語）,英訳,ステータス,メモ
トップページ,グローバルナビ,尾山神社について,About Oyama Shrine,完了,
トップページ,グローバルナビ,境内について,Shrine Grounds,完了,
トップページ,グローバルナビ,ご祈祷・年中行事,Prayers & Annual Events,完了,
トップページ,グローバルナビ,授与品,Charms & Amulets,完了,
トップページ,グローバルナビ,交通のご案内,Access,完了,
トップページ,グローバルナビ,お知らせ,News,完了,
トップページ,メインビジュアル,加賀之國 金沢鎮座,"Enshrined in Kanazawa, the Land of Kaga",完了,
トップページ,サブビジュアル,境内マップ,Grounds Map,完了,
トップページ,サブビジュアル,各種ご祈祷,Prayer Ceremonies,完了,
トップページ,お知らせ,お知らせ,News,完了,
トップページ,お知らせ,一覧を見る,View All,完了,
トップページ,お知らせ,納涼盆踊り,Bon Odori Summer Dance Festival,完了,
トップページ,お知らせ,尾山神社より,From Oyama Shrine,完了,
トップページ,お知らせ,毎月24日は「こうもり」の日,The 24th of Every Month is "Komori" (Bat) Day,完了,こうもり＝こうもり（蝙蝠）。尾山神社の縁起物。
トップページ,各種ご案内,令和7年 重陽の節句について,About the Chrysanthemum Festival (Chōyō no Sekku) 2025,完了,重陽の節句＝9月9日の伝統行事
トップページ,各種ご案内,授与所,Charm & Amulet Office,完了,
トップページ,各種ご案内,おついたち参り,First-of-the-Month Shrine Visit,完了,Tsuitachi Mairiとも表記可
トップページ,境内の記憶,境内の記憶,Memories of the Shrine Grounds,完了,
トップページ,フッター,交通のご案内,Access,完了,
トップページ,フッター,〒920-0918 石川県金沢市尾山町11-1,11-1 Oyamacho, Kanazawa, Ishikawa 920-0918,完了,
トップページ,フッター,TEL 076-231-7210,TEL 076-231-7210,完了,
トップページ,フッター,FAX 076-231-7585,FAX 076-231-7585,完了,
トップページ,フッターナビ,尾山神社について：ご祭神、社殿と歴史、前田家、お松の方について、宝物紹介,"About Oyama Shrine: Enshrined Deities, Shrine Hall & History, The Maeda Clan, About Lady Omatsu, Treasure Collection",完了,
トップページ,フッターナビ,境内のご案内：境内マップ,Shrine Grounds: Grounds Map,完了,
トップページ,フッターナビ,ご祈祷・年中行事：ご祈祷のご案内、年中行事、金沢神社、おついたち参り,"Prayers & Annual Events: Guide to Prayer Ceremonies, Annual Events, Kanazawa Shrine, First-of-the-Month Shrine Visit",完了,
トップページ,フッターナビ,授与品：授与所、授与品,"Charms & Amulets: Charm Office, Charms & Amulets",完了,
